year,UNITED STATES WHITE/Predictions
1994,103614
1996,110259
1998,6843
2000,110773
2002,109808
2004,119929
2006,115135
2008,122020
2010,114482
2012,124697
2014,115998
2016,127463
2018,123727
2020,134889
2022,138686
2024,142514
2026,146342
2028,150171
2030,153999
