year,WEST VIRGINIA WHITE/Predictions
1994,820
1996,900
1998,1
2000,857
2002,810
2004,897
2006,843
2008,890
2010,857
2012,948
2014,863
2016,865
2018,856
2020,879
2022,949
2024,969
2026,988
2028,1007
2030,1026
