year,MARYLAND HISPANIC ORIGIN/Predictions
1994,16
1996,61
1998,549
2000,30
2002,42
2004,58
2006,83
2008,93
2010,90
2012,115
2014,120
2016,170
2018,195
2020,150
2022,141
2024,143
2026,145
2028,147
2030,149
