year,VIRGINIA WHITE/Predictions
1994,2329
1996,2576
1998,18
2000,2658
2002,2435
2004,2798
2006,2768
2008,3008
2010,2775
2012,3222
2014,2939
2016,3218
2018,3065
2020,3393
2022,3548
2024,3667
2026,3786
2028,3905
2030,4024
