year,DISTRICT OF COLUMBIA HISPANIC ORIGIN/Predictions
1994,8
1996,8
1998,175
2000,7
2002,8
2004,10
2006,7
2008,11
2010,12
2012,14
2014,19
2016,20
2018,24
2020,26
2022,10
2024,8
2026,6
2028,5
2030,3
