year,UNITED STATES/Predictions
1994,118994
1996,127661
1998,123104
2000,129549
2002,128154
2004,142070
2006,135847
2008,146311
2010,137263
2012,153157
2014,142166
2016,157596
2018,153066
2020,168308
2022,163973
2024,167139
2026,170304
2028,173470
2030,176636
