year,NORTH CAROLINA HISPANIC ORIGIN/Predictions
1994,19
1996,13
1998,732
2000,31
2002,33
2004,44
2006,32
2008,83
2010,105
2012,115
2014,107
2016,208
2018,131
2020,267
2022,153
2024,155
2026,157
2028,159
2030,161
