year,SOUTH DAKOTA TOTAL/Predictions
1994,374
1996,391
1998,364
2000,376
2002,428
2004,425
2006,445
2008,442
2010,406
2012,454
2014,401
2016,437
2018,429
2020,437
2022,450
2024,454
2026,459
2028,464
2030,468
