year,ARIZONA HISPANIC ORIGIN/Predictions
1994,175
1996,230
1998,41
2000,304
2002,259
2004,354
2006,400
2008,410
2010,610
2012,516
2014,687
2016,654
2018,757
2020,895
2022,868
2024,924
2026,980
2028,1035
2030,1091
