year,OKLAHOMA HISPANIC ORIGIN/Predictions
1994,31
1996,13
1998,129
2000,26
2002,38
2004,29
2006,37
2008,47
2010,38
2012,53
2014,84
2016,68
2018,88
2020,106
2022,85
2024,89
2026,93
2028,97
2030,100
