year,OHIO BLACK/Predictions
1994,398
1996,488
1998,4689
2000,601
2002,596
2004,630
2006,593
2008,680
2010,606
2012,723
2014,680
2016,722
2018,707
2020,758
2022,467
2024,407
2026,347
2028,286
2030,226
