year,DISTRICT OF COLUMBIA MALE/Predictions
1994,131
1996,130
1998,107
2000,130
2002,120
2004,130
2006,118
2008,140
2010,127
2012,173
2014,165
2016,190
2018,179
2020,209
2022,192
2024,199
2026,205
2028,211
2030,217
