year,VERMONT FEMALE/Predictions
1994,163
1996,164
1998,163
2000,178
2002,186
2004,186
2006,185
2008,181
2010,187
2012,189
2014,172
2016,185
2018,175
2020,187
2022,188
2024,189
2026,191
2028,192
2030,193
