year,RHODE ISLAND WHITE/Predictions
1994,454
1996,503
1998,5
2000,488
2002,473
2004,494
2006,498
2008,526
2010,477
2012,497
2014,451
2016,467
2018,488
2020,519
2022,529
2024,540
2026,550
2028,560
2030,571
