year,ARIZONA WHITE/Predictions
1994,1597
1996,1735
1998,206
2000,1773
2002,1791
2004,2305
2006,2158
2008,2539
2010,2581
2012,2445
2014,2386
2016,2773
2018,2968
2020,3328
2022,3304
2024,3453
2026,3603
2028,3752
2030,3901
