year,ARIZONA FEMALE/Predictions
1994,878
1996,1012
1998,940
2000,994
2002,971
2004,1319
2006,1277
2008,1492
2010,1516
2012,1414
2014,1430
2016,1660
2018,1723
2020,2095
2022,1933
2024,2013
2026,2092
2028,2172
2030,2252
