year,NEW MEXICO FEMALE/Predictions
1994,360
1996,400
1998,397
2000,419
2002,375
2004,501
2006,500
2008,491
2010,409
2012,528
2014,486
2016,500
2018,493
2020,533
2022,541
2024,552
2026,564
2028,575
2030,586
