year,NORTH DAKOTA FEMALE/Predictions
1994,209
1996,208
1998,213
2000,208
2002,217
2004,213
2006,205
2008,209
2010,184
2012,191
2014,183
2016,208
2018,204
2020,212
2022,197
2024,196
2026,195
2028,194
2030,193
