year,CONNECTICUT WHITE/Predictions
1994,1572
1996,1544
1998,103
2000,1331
2002,1508
2004,1519
2006,1484
2008,1583
2010,1473
2012,1520
2014,1475
2016,1538
2018,1483
2020,1543
2022,1617
2024,1646
2026,1674
2028,1703
2030,1731
