year,WYOMING TOTAL/Predictions
1994,230
1996,247
1998,227
2000,240
2002,240
2004,265
2006,253
2008,270
2010,239
2012,268
2014,241
2016,304
2018,268
2020,296
2022,287
2024,291
2026,295
2028,299
2030,303
