year,NEBRASKA FEMALE/Predictions
1994,445
1996,464
1998,424
2000,471
2002,445
2004,487
2006,454
2008,495
2010,432
2012,460
2014,459
2016,529
2018,466
2020,507
2022,494
2024,497
2026,501
2028,504
2030,508
