year,TENNESSEE WHITE/Predictions
1994,2084
1996,2170
1998,10
2000,2160
2002,2256
2004,2288
2006,2410
2008,2434
2010,2365
2012,2621
2014,2545
2016,2640
2018,2606
2020,2992
2022,2998
2024,3097
2026,3196
2028,3295
2030,3394
