year,SOUTH DAKOTA BLACK/Predictions
1994,1
1996,1
1998,351
2000,2
2002,3
2004,0
2006,0
2008,2
2010,2
2012,3
2014,5
2016,4
2018,2
2020,5
2022,-22
2024,-29
2026,-36
2028,-42
2030,-49
