year,VERMONT BLACK/Predictions
1994,0
1996,1
1998,313
2000,0
2002,2
2004,0
2006,2
2008,3
2010,2
2012,3
2014,2
2016,2
2018,2
2020,1
2022,-21
2024,-27
2026,-33
2028,-39
2030,-45
