year,FLORIDA FEMALE/Predictions
1994,3243
1996,3666
1998,3641
2000,3816
2002,3948
2004,4434
2006,4235
2008,4725
2010,4259
2012,4869
2014,4683
2016,5226
2018,5052
2020,5530
2022,5532
2024,5685
2026,5839
2028,5993
2030,6146
