year,TEXAS BLACK/Predictions
1994,752
1996,914
1998,7176
2000,971
2002,1139
2004,1141
2006,1158
2008,1356
2010,1242
2012,1569
2014,1334
2016,1724
2018,1580
2020,1759
2022,1314
2024,1262
2026,1211
2028,1159
2030,1108
