year,FLORIDA BLACK/Predictions
1994,633
1996,754
1998,5843
2000,773
2002,846
2004,965
2006,963
2008,1069
2010,1073
2012,1262
2014,1358
2016,1149
2018,1340
2020,1533
2022,1108
2024,1070
2026,1031
2028,993
2030,955
