year,NEW HAMPSHIRE BLACK/Predictions
1994,0
1996,3
1998,553
2000,10
2002,1
2004,2
2006,4
2008,4
2010,5
2012,7
2014,7
2016,5
2018,2
2020,4
2022,-36
2024,-47
2026,-58
2028,-69
2030,-79
