year,IDAHO BLACK/Predictions
1994,1
1996,0
1998,521
2000,0
2002,2
2004,0
2006,0
2008,8
2010,4
2012,0
2014,1
2016,3
2018,8
2020,5
2022,-34
2024,-44
2026,-54
2028,-64
2030,-74
