year,RHODE ISLAND MALE/Predictions
1994,221
1996,237
1998,223
2000,230
2002,231
2004,236
2006,247
2008,258
2010,238
2012,254
2014,231
2016,253
2018,238
2020,273
2022,258
2024,261
2026,263
2028,266
2030,268
