year,MINNESOTA MALE/Predictions
1994,1294
1996,1263
1998,1394
2000,1257
2002,1371
2004,1471
2006,1385
2008,1394
2010,1341
2012,1496
2014,1346
2016,1457
2018,1429
2020,1690
2022,1537
2024,1556
2026,1574
2028,1593
2030,1611
