year,IOWA FEMALE/Predictions
1994,783
1996,813
1998,825
2000,790
2002,810
2004,886
2006,873
2008,865
2010,818
2012,906
2014,829
2016,877
2018,825
2020,888
2022,883
2024,888
2026,894
2028,899
2030,905
