year,VIRGINIA TOTAL/Predictions
1994,2888
1996,3294
1998,2996
2000,3317
2002,3063
2004,3441
2006,3402
2008,3950
2010,3546
2012,4210
2014,3924
2016,4399
2018,4159
2020,4541
2022,4550
2024,4669
2026,4789
2028,4909
2030,5029
