year,DELAWARE BLACK/Predictions
1994,46
1996,64
1998,278
2000,68
2002,61
2004,63
2006,74
2008,83
2010,79
2012,91
2014,91
2016,96
2018,109
2020,114
2022,95
2024,96
2026,96
2028,96
2030,96
