year,NEBRASKA BLACK/Predictions
1994,33
1996,19
1998,769
2000,30
2002,28
2004,31
2006,21
2008,25
2010,13
2012,32
2014,36
2016,41
2018,26
2020,45
2022,-21
2024,-35
2026,-49
2028,-63
2030,-77
