year,HAWAII TOTAL/Predictions
1994,438
1996,463
1998,463
2000,402
2002,425
2004,497
2006,492
2008,522
2010,466
2012,547
2014,490
2016,530
2018,523
2020,673
2022,585
2024,597
2026,609
2028,621
2030,633
