year,MINNESOTA TOTAL/Predictions
1994,2677
1996,2644
1998,2787
2000,2688
2002,2888
2004,3080
2006,2862
2008,2931
2010,2756
2012,3085
2014,2822
2016,3055
2018,3000
2020,3436
2022,3191
2024,3229
2026,3267
2028,3305
2030,3343
