year,MISSISSIPPI TOTAL/Predictions
1994,1353
1996,1389
1998,1446
2000,1465
2002,1400
2004,1510
2006,1437
2008,1589
2010,1532
2012,1794
2014,1628
2016,1725
2018,1599
2020,1749
2022,1763
2024,1792
2026,1821
2028,1850
2030,1880
