year,IDAHO FEMALE/Predictions
1994,259
1996,298
1998,269
2000,304
2002,293
2004,345
2006,342
2008,371
2010,341
2012,390
2014,359
2016,404
2018,381
2020,466
2022,438
2024,451
2026,463
2028,476
2030,488
