year,VIRGINIA MALE/Predictions
1994,1327
1996,1470
1998,1339
2000,1512
2002,1424
2004,1584
2006,1555
2008,1789
2010,1637
2012,1931
2014,1892
2016,2023
2018,1958
2020,2092
2022,2126
2024,2186
2026,2245
2028,2305
2030,2364
