year,WYOMING BLACK/Predictions
1994,2
1996,0
1998,221
2000,1
2002,0
2004,1
2006,2
2008,1
2010,2
2012,1
2014,5
2016,4
2018,3
2020,1
2022,-13
2024,-18
2026,-22
2028,-26
2030,-30
