year,SOUTH CAROLINA BLACK/Predictions
1994,520
1996,436
1998,1397
2000,454
2002,488
2004,595
2006,582
2008,650
2010,616
2012,691
2014,640
2016,720
2018,646
2020,613
2022,644
2024,643
2026,643
2028,643
2030,643
