year,MAINE MALE/Predictions
1994,354
1996,364
1998,333
2000,374
2002,391
2004,390
2006,393
2008,380
2010,363
2012,383
2014,373
2016,388
2018,397
2020,383
2022,394
2024,396
2026,398
2028,401
2030,403
