year,MAINE FEMALE/Predictions
1994,389
1996,391
1998,371
2000,412
2002,440
2004,434
2006,418
2008,421
2010,416
2012,404
2014,426
2016,442
2018,431
2020,449
2022,445
2024,449
2026,453
2028,457
2030,461
