year,TENNESSEE FEMALE/Predictions
1994,1287
1996,1372
1998,1395
2000,1351
2002,1374
2004,1477
2006,1560
2008,1626
2010,1537
2012,1778
2014,1712
2016,1746
2018,1707
2020,1976
2022,1903
2024,1948
2026,1994
2028,2039
2030,2084
