year,WEST VIRGINIA HISPANIC ORIGIN/Predictions
1994,0
1996,1
1998,11
2000,1
2002,5
2004,1
2006,2
2008,5
2010,2
2012,8
2014,11
2016,4
2018,10
2020,10
2022,9
2024,9
2026,10
2028,11
2030,11
