year,MINNESOTA WHITE/Predictions
1994,2583
1996,2551
1998,11
2000,2592
2002,2795
2004,2884
2006,2731
2008,2740
2010,2639
2012,2846
2014,2667
2016,2723
2018,2727
2020,3086
2022,3083
2024,3156
2026,3228
2028,3301
2030,3373
