year,SOUTH DAKOTA FEMALE/Predictions
1994,198
1996,205
1998,181
2000,192
2002,231
2004,229
2006,233
2008,235
2010,212
2012,235
2014,212
2016,224
2018,222
2020,221
2022,232
2024,234
2026,236
2028,239
2030,241
