year,ALABAMA BLACK/Predictions
1994,557
1996,532
1998,1763
2000,619
2002,524
2004,583
2006,602
2008,611
2010,599
2012,610
2014,596
2016,694
2018,657
2020,590
2022,557
2024,541
2026,524
2028,508
2030,491
