year,NEW JERSEY MALE/Predictions
1994,1767
1996,1784
1998,1655
2000,1820
2002,1761
2004,1852
2006,1600
2008,1913
2010,1712
2012,1982
2014,1808
2016,1911
2018,2046
2020,2366
2022,2084
2024,2114
2026,2145
2028,2175
2030,2206
