year,COLORADO TOTAL/Predictions
1994,1743
1996,2001
1998,2024
2000,1954
2002,1976
2004,2307
2006,2275
2008,2437
2010,2299
2012,2635
2014,2654
2016,2893
2018,2645
2020,2993
2022,2996
2024,3083
2026,3169
2028,3256
2030,3343
