year,VIRGINIA BLACK/Predictions
1994,505
1996,659
1998,2389
2000,586
2002,503
2004,551
2006,534
2008,727
2010,536
2012,772
2014,712
2016,817
2018,754
2020,764
2022,650
2024,634
2026,618
2028,602
2030,586
