year,MICHIGAN MALE/Predictions
1994,2393
1996,2355
1998,2470
2000,2387
2002,2474
2004,2519
2006,2483
2008,2590
2010,2393
2012,2663
2014,2397
2016,2540
2018,2563
2020,2648
2022,2606
2024,2621
2026,2636
2028,2652
2030,2667
