year,MISSOURI MALE/Predictions
1994,1343
1996,1346
1998,1302
2000,1386
2002,1320
2004,1540
2006,1471
2008,1510
2010,1414
2012,1608
2014,1514
2016,1534
2018,1541
2020,1556
2022,1604
2024,1624
2026,1643
2028,1663
2030,1683
