year,WISCONSIN HISPANIC ORIGIN/Predictions
1994,7
1996,33
1998,104
2000,34
2002,51
2004,72
2006,58
2008,77
2010,53
2012,76
2014,77
2016,136
2018,91
2020,105
2022,112
2024,117
2026,123
2028,129
2030,134
