year,MICHIGAN TOTAL/Predictions
1994,5112
1996,5052
1998,5217
2000,4996
2002,5291
2004,5364
2006,5256
2008,5531
2010,5127
2012,5620
2014,5159
2016,5434
2018,5453
2020,5513
2022,5524
2024,5554
2026,5585
2028,5616
2030,5646
