year,OREGON MALE/Predictions
1994,805
1996,823
1998,763
2000,806
2002,832
2004,972
2006,930
2008,913
2010,962
2012,990
2014,950
2016,1052
2018,1078
2020,1245
2022,1149
2024,1177
2026,1206
2028,1234
2030,1262
