year,DELAWARE MALE/Predictions
1994,148
1996,159
1998,160
2000,173
2002,169
2004,189
2006,190
2008,204
2010,190
2012,218
2014,206
2016,216
2018,215
2020,247
2022,239
2024,245
2026,252
2028,258
2030,265
