year,NEW YORK MALE/Predictions
1994,3627
1996,3644
1998,3581
2000,3710
2002,3725
2004,3965
2006,3789
2008,3912
2010,3883
2012,4084
2014,3679
2016,4225
2018,3934
2020,4309
2022,4180
2024,4222
2026,4265
2028,4307
2030,4349
