year,CONNECTICUT TOTAL/Predictions
1994,1679
1996,1685
1998,1625
2000,1510
2002,1679
2004,1695
2006,1650
2008,1761
2010,1641
2012,1760
2014,1668
2016,1763
2018,1726
2020,1850
2022,1780
2024,1792
2026,1804
2028,1816
2030,1828
