year,LOUISIANA BLACK/Predictions
1994,597
1996,653
1998,1554
2000,656
2002,680
2004,693
2006,592
2008,712
2010,743
2012,768
2014,729
2016,755
2018,688
2020,720
2022,687
2024,678
2026,669
2028,660
2030,652
