year,RHODE ISLAND FEMALE/Predictions
1994,254
1996,283
1998,255
2000,279
2002,264
2004,286
2006,289
2008,310
2010,272
2012,298
2014,255
2016,285
2018,293
2020,302
2022,296
2024,298
2026,300
2028,303
2030,305
