year,WYOMING MALE/Predictions
1994,112
1996,119
1998,113
2000,118
2002,113
2004,129
2006,123
2008,127
2010,118
2012,127
2014,117
2016,154
2018,134
2020,141
2022,140
2024,142
2026,144
2028,146
2030,148
