year,MICHIGAN WHITE/Predictions
1994,4358
1996,4328
1998,108
2000,4325
2002,4578
2004,4526
2006,4404
2008,4642
2010,4376
2012,4758
2014,4280
2016,4579
2018,4620
2020,4568
2022,4942
2024,5044
2026,5147
2028,5249
2030,5351
